title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
"Regulatory update: Delaware Public Service Commission; Other/Owner Install , has issued ( 16-0131 ) Docket Filing Application",urn:contentItem:5J0M-2H61-DXCW-D2P8-00000-00,2016-02-02,"February 2, 2016 Tuesday",126,10,U.S. Federal; Delaware,2016-02-02,US Official News,,News,Available,400469,USOFFN2016,250 words,,250,English,15588
"Regulatory update: Delaware Public Service Commission; PEG Bandwidth DE, LLC , has issued ( 16-0146 ) Docket Filing Application",urn:contentItem:5J1X-3C51-DXCW-D3JX-00000-00,2016-02-08,"February 8, 2016 Monday",130,1,U.S. Federal; Delaware,2016-02-08,US Official News,,News,Available,400469,USOFFN2016,257 words,,257,English,13535
Delaware : DE Breast Cancer Coalition Calling for Nominations for Breast Cancer Awards,urn:contentItem:5J27-MN41-DXCW-D3Y3-00000-00,2016-02-09,"February 9, 2016 Tuesday",129,2,U.S. Federal; Delaware,2016-02-09,US Official News,,News,Available,400469,USOFFN2016,347 words,,347,English,13535
"Regulatory update: Delaware Public Service Commission; Verizon Delaware LLC , has issued ( 16-VE-0120-NDS ) Docket Filing Application",urn:contentItem:5J2B-59B1-DXCW-D0KK-00000-00,2016-02-10,"February 10, 2016 Wednesday",129,3,U.S. Federal; Delaware,2016-02-10,US Official News,,News,Available,400469,USOFFN2016,238 words,,238,English,13535
Delaware : DNREC Division of Fish & Wildlife announces registration for Delaware ’s mandatory wild turkey hunting course,urn:contentItem:5J23-XDD1-DXCW-D166-00000-00,2016-02-09,"February 9, 2016 Tuesday",129,4,U.S. Federal; Delaware; International,2016-02-09,US Official News,,News,Available,400469,USOFFN2016,300 words,,300,English,13535
Delaware : 2016 Delaware Fishing Guide now available statewide and online,urn:contentItem:5J23-XDD1-DXCW-D162-00000-00,2016-02-09,"February 9, 2016 Tuesday",128,5,U.S. Federal; Delaware,2016-02-09,US Official News,,News,Available,400469,USOFFN2016,419 words,,419,English,13535
"Regulatory update: Delaware Public Service Commission; Verizon Delaware LLC , has issued ( 16-VE-0120-NDS ) Verizon DE verification for FCC Form 555 filing - for informational purposes",urn:contentItem:5J2B-59B1-DXCW-D0KH-00000-00,2016-02-10,"February 10, 2016 Wednesday",128,6,U.S. Federal,2016-02-10,US Official News,,News,Available,400469,USOFFN2016,874 words,,874,English,13535
Delaware : Construction of New U.S. 301 from Maryland / Delaware State Line,urn:contentItem:5J23-XDD1-DXCW-D15T-00000-00,2016-02-09,"February 9, 2016 Tuesday",128,7,U.S. Federal; Delaware; Maryland,2016-02-09,US Official News,,News,Available,400469,USOFFN2016,256 words,,256,English,13535
Delaware : February Teacher Newsletter,urn:contentItem:5J18-3V71-DXCW-D0T8-00000-00,2016-02-05,"February 5, 2016 Friday",128,8,U.S. Federal; Delaware; Pennsylvania,2016-02-05,US Official News,,News,Available,400469,USOFFN2016,650 words,,650,English,13535
"Regulatory update: Delaware Public Service Commission; PEG Bandwidth DE, LLC , has issued ( 16-0146 ) IN THE MATTER OF THE JOINT APPLICATION OF COMMUNICATION SALES & LEASING INC. AND PEG BANDWIDTH HOLDINGS, LLC, AND PEG BANDWIDTH DE, LLC TO COMMUNICATIONS SALES & LEASING, INC. (FILED FEBRUARY 3, 2016)",urn:contentItem:5J1X-3C51-DXCW-D3JV-00000-00,2016-02-08,"February 8, 2016 Monday",127,9,U.S. Federal; Delaware,2016-02-08,US Official News,,News,Available,400469,USOFFN2016,279 words,,279,English,13535
"Regulatory update: Delaware Public Service Commission; SUEZ Water Delaware Inc. , has issued ( 16-0163 ) MFR SECTION 2",urn:contentItem:5J2H-WKY1-DXCW-D496-00000-00,2016-02-11,"February 11, 2016 Thursday",127,10,U.S. Federal; Delaware,2016-02-11,US Official News,,News,Available,400469,USOFFN2016,512 words,,512,English,13535
Delaware : In Memoriam: Juan F. Garcia de la Banda (1921–2015),urn:contentItem:5J3T-RJ41-J9XT-P11M-00000-00,2016-02-17,"February 17, 2016 Wednesday",129,1,U.S. Federal; Delaware; International,2016-02-17,US Official News,,News,Available,400469,USOFFN2016,381 words,,381,English,11782
"Delaware : Delaware to continue climate change fight,",urn:contentItem:5J3R-FK61-J9XT-P12B-00000-00,2016-02-16,"February 16, 2016 Tuesday",128,2,U.S. Federal; Delaware,2016-02-16,US Official News,,News,Available,400469,USOFFN2016,557 words,,557,English,11782
"Regulatory update: Delaware Public Service Commission; Delmarva Power , has issued ( 16-DE-0174-NDS ) December 2015 - GCR Monthly Report - Supporting documents for Staff review",urn:contentItem:5J3T-RJ61-DXCW-D0DC-00000-00,2016-02-17,"February 17, 2016 Wednesday",128,3,U.S. Federal; Delaware,2016-02-17,US Official News,,News,Available,400469,USOFFN2016,204 words,,204,English,11782
