Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2022-11-04,0.0,-0.0021,17
2022-11-07,1.0,0.0281,2
2022-11-08,0.0,-0.0031,9
2022-11-09,1.0,0.001,11
2022-11-10,2.0,-0.001,6
2022-11-11,3.0,0.0271,22
2022-11-14,0.0,0.0,3
2022-11-15,0.0,-0.0097,3
2022-11-16,1.0,-0.0298,12
2022-11-17,0.0,-0.0068,29
2022-11-18,1.0,-0.005,9
2022-11-21,0.0,-0.0274,7
2022-11-22,0.0,-0.0008,4
2022-11-23,1.0,-0.5658,13
2022-11-24,1.0,-0.091,14
2022-11-25,0.0,-0.1462,5
2022-11-28,0.0,-0.0043,6
2022-11-29,0.0,-0.0081,9
2022-11-30,1.0,0.0009,2
2022-12-01,0.0,0.0,3
2022-12-02,0.0,-0.0653,6
2022-12-05,0.0,0.0,7
2022-12-06,0.0,-0.0071,6
2022-12-07,2.0,-0.0294,10
2022-12-08,0.0,-0.0005,14
2022-12-09,0.0,-0.0025,10
2022-12-12,0.0,-0.0162,13
2022-12-13,2.0,0.0008,15
2022-12-14,1.0,0.0016,23
2022-12-15,0.0,-0.0422,8
2022-12-16,0.0,-0.0011,17
2022-12-19,0.0,0.0,1
2022-12-20,1.0,-0.1965,4
2022-12-21,2.0,-0.1189,13
2022-12-22,1.0,0.0062,6
2022-12-23,0.0,-0.0051,5
2022-12-26,0.0,0.0,1
2022-12-27,0.0,0.0,4
2022-12-28,0.0,-0.0975,1
2022-12-29,0.0,-0.0467,5
2022-12-30,4.0,-0.0701,3
2023-01-02,0.0,0.0,1
2023-01-03,1.0,0.0041,2
2023-01-04,0.0,-0.0084,13
2023-01-05,1.0,-0.0488,12
2023-01-06,0.0,-0.064,14
2023-01-09,1.0,-0.0075,19
2023-01-10,2.0,-0.0024,42
2023-01-11,1.0,-0.0031,33
2023-01-12,1.0,-0.0024,20
2023-01-13,2.0,-0.1625,11
2023-01-16,0.0,-0.0223,8
2023-01-17,5.0,-0.1114,19
2023-01-18,4.0,-0.827,53
2023-01-19,1.0,-0.0159,12
2023-01-20,1.0,-0.0024,13
2023-01-23,0.0,-0.0032,5
2023-01-24,0.0,-0.2631,12
2023-01-25,0.0,-0.0289,5
2023-01-26,1.0,-0.0195,35
2023-01-27,1.0,-0.0227,33
2023-01-30,2.0,-0.2012,11
2023-01-31,0.0,-0.155,20
2023-02-01,1.0,-0.0435,12
2023-02-02,2.0,-0.0147,10
2023-02-03,3.0,0.0131,17
2023-02-06,0.0,-0.0003,12
2023-02-07,2.0,0.0036,28
2023-02-08,4.0,0.0312,28
2023-02-09,1.0,-0.0457,11
2023-02-10,0.0,-0.0596,6
2023-02-13,0.0,-0.0148,1
2023-02-14,1.0,-0.0677,12
2023-02-15,0.0,-0.0406,20
2023-02-16,1.0,-0.0057,9
2023-02-17,0.0,-0.0046,23
2023-02-20,0.0,-0.0156,11
2023-02-21,1.0,0.0473,15
2023-02-22,0.0,-0.0589,8
2023-02-23,0.0,-0.0341,8
2023-02-24,1.0,-0.0935,15
2023-02-27,1.0,-0.0432,11
2023-02-28,7.0,0.0312,11
2023-03-01,4.0,-0.0938,31
2023-03-02,0.0,-0.136,5
2023-03-03,1.0,-0.0039,15
2023-03-06,0.0,0.0,19
2023-03-07,0.0,-0.0129,39
2023-03-08,0.0,-0.0799,23
2023-03-09,2.0,-0.0687,6
2023-03-10,1.0,-0.4705,10
2023-03-13,0.0,0.0,2
2023-03-14,0.0,-0.0244,8
2023-03-15,3.0,-0.1041,13
2023-03-16,0.0,-0.1693,46
2023-03-17,4.0,-0.0117,18
2023-03-20,0.0,-0.0493,12
2023-03-21,5.0,0.0532,15
2023-03-22,6.0,0.0373,11
2023-03-23,2.0,-0.0191,17
2023-03-24,1.0,-0.0081,4
2023-03-27,0.0,0.0,7
2023-03-28,5.0,0.1425,13
2023-03-29,0.0,-0.0032,16
2023-03-30,1.0,0.0021,3
2023-03-31,2.0,0.0072,9
2023-04-03,1.0,-0.0072,26
2023-04-04,0.0,-0.0165,14
2023-04-05,0.0,-0.0031,10
