title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
Hussman Strategic Advisors Inc. Makes New Investment in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-11,924 words,924,24,61,439934,AMBNWS2021,urn:contentItem:5SVY-3YM1-JB40-X0V5-00000-00
Kornitzer Capital Management Inc. KS Has $17.26 Million Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-11,967 words,967,24,60,439934,AMBNWS2021,urn:contentItem:62N7-0XC1-DXK2-M10M-00000-00
"GFS Advisors LLC Sells 6,922 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-05-11,1021 words,1021,24,60,439934,AMBNWS2021,urn:contentItem:62N7-0XC1-DXK2-M45T-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on May 11 for ""Object tracking method and system"" ( Arkansas Inventors)",US Fed News,,2021-05-12,264 words,264,16,106,282801,USFDNW2021,urn:contentItem:62N8-W8W1-JDKC-R1S5-00000-00
Temperature Controlled Packaging Solutions Market Worth $80.1 Billion by 2026 - Exclusive Report by MarketsandMarkets™,ReleaseWire,,2021-05-12,1577 words,1577,16,63,484276,SBWI-7162,urn:contentItem:62NB-0B41-JCMN-Y234-00000-00
Bray Capital Advisors Purchases 362 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-12,868 words,868,16,63,439934,AMBNWS2021,urn:contentItem:62NF-0361-JB40-X23H-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by MUFG Americas Holdings Corp,Watchlist News,,2021-05-12,965 words,965,16,62,484299,AMCN-135127,urn:contentItem:62NB-0B51-JCMN-Y53Y-00000-00
"Park Avenue Securities LLC Buys Shares of 1,172 FedEx Co. ( NYSE :FDX)",Watchlist News,,2021-05-12,1055 words,1055,16,59,484299,AMCN-135127,urn:contentItem:62NB-0B51-JCMN-Y4TW-00000-00
FedEx Co. ( NYSE : FDX ) Expected to Post Quarterly Sales of $21.09 Billion,Watchlist News,,2021-05-12,1236 words,1236,16,57,484299,AMCN-135127,urn:contentItem:62N8-HXH1-F03R-N1NM-00000-00
Medical Supply Delivery Service Market Size to Grow at a CAGR of 6.7% During the Forecast Period 2020 2025,iCrowdNewswire (English),,2021-05-12,1215 words,1215,16,40,433665,ICRWDE2021,urn:contentItem:62N9-HDT1-JCTB-F18K-00000-00
MUFG Americas Holdings Corp Sells 707 Shares of FedEx Co. ( NYSE :FDX),Ticker Report,,2021-05-12,1012 words,1012,16,35,484293,AMCN-126392,urn:contentItem:62NB-0B51-JCMN-Y486-00000-00
FedEx ( NYSE :FDX) Upgraded to 'Outperform' at Wolfe Research,Zolmax.com,,2021-05-12,908 words,908,16,32,484302,AMCN-116308,urn:contentItem:62N8-HX81-F03R-N508-00000-00
"FedEx Office Donates $100,000 in Printing to Future Ready Schools in Support of Students Impacted by Pandemic",3BL Blogs,fedex,2021-05-12,969 words,969,16,30,484221,TBLM-6759,urn:contentItem:62NB-0B41-JCMN-Y29M-00000-00
FedEx Co. ( NYSE :FDX) Shares Bought by Migdal Insurance & Financial Holdings Ltd.,American Banking and Market News,,2021-05-13,901 words,901,25,67,439934,AMBNWS2021,urn:contentItem:62NM-X3P1-JB40-X143-00000-00
BTC Capital Management Inc. Raises Stock Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-13,982 words,982,25,64,439934,AMBNWS2021,urn:contentItem:62NM-X3P1-JB40-X1MN-00000-00
Vicus Capital Decreases Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-13,878 words,878,25,64,439934,AMBNWS2021,urn:contentItem:62NM-X3N1-JB40-X3P3-00000-00
"FedEx Co. ( NYSE :FDX) CEO Sells $4,231,962.75 in Stock",Watchlist News,,2021-05-13,909 words,909,25,63,484299,AMCN-135127,urn:contentItem:62NG-G971-JCMN-Y0MG-00000-00
Calton & Associates Inc. Sells 289 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-13,908 words,908,25,61,439934,AMBNWS2021,urn:contentItem:62NH-7WB1-JB40-X301-00000-00
"Medical Supply Delivery Service Market to hit US $96.11 Billion by 2028 - Global Insights on Latest Trends, Strategic Initiatives, Growth Drivers, COVID-19 Impact Analysis, Leading Players and Business Opportunities: Adroit Market Research Growing industry demand, fuelled by increasing awareness of the benefits of these medical supply delivery service, is expected to encourage the entrance of new players in the future.",GlobeNewswire,,2021-05-13,979 words,979,25,43,222091,PRIZNE2021,urn:contentItem:62NG-F521-DYGB-B1H4-00000-00
FedEx Announces the FedEx E-Commerce Learning Lab in Collaboration with Accion Opportunity Fund $1 million grant will be used to fund program to help businesses owned by women and people of color expand e-commerce operations,Business Wire,,2021-05-13,975 words,975,25,37,7924,BWIRE2021,urn:contentItem:62NG-NVJ1-DXY3-01J0-00000-00
FedEx Announces the FedEx E-commerce Learning Lab in Collaboration With Accion Opportunity Fund,3BL Blogs,fedex,2021-05-13,1109 words,1109,25,37,484221,TBLM-6759,urn:contentItem:62NH-Y0G1-F03R-N06K-00000-00
"Donald F. Colleran Sells 13,425 Shares of FedEx Co. ( NYSE :FDX) Stock",DailyPolitical,,2021-05-13,727 words,727,25,33,484233,AMCN-116307,urn:contentItem:62NG-G961-JCMN-Y3HM-00000-00
Calton & Associates Inc. Cuts Stock Position in FedEx Co. ( NYSE :FDX),DailyPolitical,,2021-05-13,967 words,967,25,32,484233,AMCN-116307,urn:contentItem:62NH-Y0B1-F03R-N3HH-00000-00
"Global $68.48 Billion Domestic Couriers Markets, 2015-2020, 2020-2025F, 2030F - ResearchAndMarkets.com",Business Wire,,2021-05-14,1009 words,1009,21,66,7924,BWIRE2021,urn:contentItem:62NP-D2P1-DXY3-01W1-00000-00
Daiwa Securities Group Inc. Increases Stake in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-14,789 words,789,21,65,439934,AMBNWS2021,urn:contentItem:62NR-7DB1-DXK2-M2N3-00000-00
Daiwa Securities Group Inc. Buys 392 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-14,833 words,833,21,65,439934,AMBNWS2021,urn:contentItem:62NR-7GP1-JB40-X408-00000-00
FedEx Co. ( NYSE :FDX) Shares Acquired by Palisade Asset Management LLC,American Banking and Market News,,2021-05-14,900 words,900,21,63,439934,AMBNWS2021,urn:contentItem:62NV-XB01-DXK2-M2Y1-00000-00
The Manufacturers Life Insurance Company Reduces Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-14,911 words,911,21,61,439934,AMBNWS2021,urn:contentItem:62NR-7GP1-JB40-X4RP-00000-00
Palisade Asset Management LLC Increases Stock Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-14,935 words,935,21,61,439934,AMBNWS2021,urn:contentItem:62NV-XB01-DXK2-M1BK-00000-00
"The global TCP market size was USD 34.4 billion in 2021 and is projected to reach USD 80.1 billion by 2026, at a CAGR of 18.4% between 2021 and 2026 Temperature-controlled packaging solution is a crucial part of the cold chain industry, involved in maintaining the desired temperature range for a predefined time for temperature-sensitive products. Pharma and Biopharma are end-use industries for Temperature-controlled packaging solutions.",GlobeNewswire,,2021-05-14,1337 words,1337,21,41,222091,PRIZNE2021,urn:contentItem:62NP-JPB1-DYGB-B281-00000-00
"Biopharmaceutical Cold Chain Logistics Market to See Huge Growth by 2026 : SciSafe, United Parcel Service of America , MD Logistics",ReleaseWire,,2021-05-14,1490 words,1490,21,37,484276,SBWI-7162,urn:contentItem:62NR-WR31-JCMN-Y3MK-00000-00
Commonwealth Equity Services LLC Cuts Stock Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-15,897 words,897,7,62,439934,AMBNWS2021,urn:contentItem:62NY-5TD1-JB40-X198-00000-00
Compton Capital Management Inc. RI Has $2.62 Million Stock Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-15,904 words,904,7,61,439934,AMBNWS2021,urn:contentItem:5SW8-S401-JB40-X32M-00000-00
Weatherly Asset Management L. P. Increases Stock Position in FedEx Co. ( NYSE :FDX),Watchlist News,,2021-05-15,987 words,987,7,60,484299,AMCN-135127,urn:contentItem:62NY-SDH1-F03R-N26T-00000-00
